id,year,institute_type,round_no,quota,pool,institute_short,program_name,program_duration,degree_short,category,opening_rank,closing_rank,is_preparatory
28454,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN,32106,34383,0
29447,2021,NIT,1,OS,Gender-Neutral,NIT-Patna,Architecture,5 Years,B.Arch,OBC-NCL,428,498,0
28455,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-PWD,1306,1306,0
28456,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-EWS,4049,4183,0
28457,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-EWS,6217,6217,0
28458,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,OBC-NCL,8577,9365,0
28459,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,OBC-NCL,13268,13268,0
28460,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,SC,4620,5658,0
28461,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,SC,6502,6502,0
28462,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,ST,1678,1775,0
28463,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,ST,2273,2273,0
28464,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,634,5792,0
28465,2021,NIT,1,HS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,1829,12372,0
28466,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN-PWD,29,29,0
28467,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,1008,1861,0
28468,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,2024,4230,0
28469,2021,NIT,1,HS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,7546,9145,0
28470,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL-PWD,365,365,0
28471,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC,614,1803,0
28472,2021,NIT,1,HS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC,1871,1871,0
28473,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC-PWD,96,96,0
28474,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,ST,1054,1304,0
28475,2021,NIT,1,HS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,ST,3124,3124,0
28476,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,623,5700,0
28477,2021,NIT,1,OS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,5340,10380,0
28478,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,693,1170,0
28479,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS-PWD,49,49,0
28480,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,1290,2794,0
28481,2021,NIT,1,OS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,2983,3458,0
28482,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC,954,1203,0
28483,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC-PWD,36,36,0
28484,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,ST,80,235,0
28485,2021,NIT,1,OS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,ST,535,535,0
28486,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Electrical and Electronics Engineering,4 Years,B.Tech,GEN,8281,19422,0
28487,2021,NIT,1,HS,Female-Only,NIT-Delhi,Electrical and Electronics Engineering,4 Years,B.Tech,GEN,16594,21459,0
28488,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Electrical and Electronics Engineering,4 Years,B.Tech,GEN-PWD,715,715,0
28440,2021,NIT,1,OS,Female-Only,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,OBC-NCL,9547,11458,0
28441,2021,NIT,1,OS,Female-Only,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,OBC-NCL-PWD,830,830,0
28442,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,SC,2766,3756,0
28443,2021,NIT,1,OS,Female-Only,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,SC,4023,5480,0
28444,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,ST,936,1100,0
28445,2021,NIT,1,OS,Female-Only,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,ST,1706,1729,0
28446,2021,NIT,1,HS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN,28638,39542,0
28447,2021,NIT,1,HS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN,37094,38850,0
28448,2021,NIT,1,HS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-EWS,67965,67965,0
28449,2021,NIT,1,HS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,OBC-NCL,10939,12947,0
28450,2021,NIT,1,HS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,OBC-NCL,13457,13457,0
28451,2021,NIT,1,HS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,SC,13714,20255,0
28452,2021,NIT,1,HS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,SC,17854,17854,0
28453,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN,22651,26371,0
28454,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN,32106,34383,0
29447,2021,NIT,1,OS,Gender-Neutral,NIT-Patna,Architecture,5 Years,B.Arch,OBC-NCL,428,498,0
28455,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-PWD,1306,1306,0
28456,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-EWS,4049,4183,0
28457,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-EWS,6217,6217,0
28458,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,OBC-NCL,8577,9365,0
28459,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,OBC-NCL,13268,13268,0
28460,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,SC,4620,5658,0
28461,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,SC,6502,6502,0
28462,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,ST,1678,1775,0
28463,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,ST,2273,2273,0
28464,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,634,5792,0
28465,2021,NIT,1,HS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,1829,12372,0
28466,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN-PWD,29,29,0
28467,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,1008,1861,0
28468,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,2024,4230,0
28469,2021,NIT,1,HS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,7546,9145,0
28470,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL-PWD,365,365,0
28471,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC,614,1803,0
28472,2021,NIT,1,HS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC,1871,1871,0
28473,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC-PWD,96,96,0
28474,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,ST,1054,1304,0
28475,2021,NIT,1,HS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,ST,3124,3124,0
28476,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,623,5700,0
28477,2021,NIT,1,OS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,5340,10380,0
28478,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,693,1170,0
28479,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS-PWD,49,49,0
28480,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,1290,2794,0
28481,2021,NIT,1,OS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,2983,3458,0
28482,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC,954,1203,0
28483,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC-PWD,36,36,0
28484,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,ST,80,235,0
28485,2021,NIT,1,OS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,ST,535,535,0
28486,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Electrical and Electronics Engineering,4 Years,B.Tech,GEN,8281,19422,0
28487,2021,NIT,1,HS,Female-Only,NIT-Delhi,Electrical and Electronics Engineering,4 Years,B.Tech,GEN,16594,21459,0
28488,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Electrical and Electronics Engineering,4 Years,B.Tech,GEN-PWD,715,715,0
28440,2021,NIT,1,OS,Female-Only,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,OBC-NCL,9547,11458,0
28441,2021,NIT,1,OS,Female-Only,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,OBC-NCL-PWD,830,830,0
28442,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,SC,2766,3756,0
28443,2021,NIT,1,OS,Female-Only,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,SC,4023,5480,0
28444,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,ST,936,1100,0
28445,2021,NIT,1,OS,Female-Only,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,ST,1706,1729,0
28446,2021,NIT,1,HS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN,28638,39542,0
28447,2021,NIT,1,HS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN,37094,38850,0
28448,2021,NIT,1,HS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-EWS,67965,67965,0
28449,2021,NIT,1,HS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,OBC-NCL,10939,12947,0
28450,2021,NIT,1,HS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,OBC-NCL,13457,13457,0
28451,2021,NIT,1,HS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,SC,13714,20255,0
28452,2021,NIT,1,HS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,SC,17854,17854,0
28453,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN,22651,26371,0
28454,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN,32106,34383,0
29447,2021,NIT,1,OS,Gender-Neutral,NIT-Patna,Architecture,5 Years,B.Arch,OBC-NCL,428,498,0
28455,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-PWD,1306,1306,0
28456,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-EWS,4049,4183,0
28457,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-EWS,6217,6217,0
28458,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,OBC-NCL,8577,9365,0
28459,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,OBC-NCL,13268,13268,0
28460,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,SC,4620,5658,0
28461,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,SC,6502,6502,0
28462,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,ST,1678,1775,0
28463,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,ST,2273,2273,0
28464,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,634,5792,0
28465,2021,NIT,1,HS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,1829,12372,0
28466,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN-PWD,29,29,0
28467,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,1008,1861,0
28468,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,2024,4230,0
28469,2021,NIT,1,HS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,7546,9145,0
28470,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL-PWD,365,365,0
28471,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC,614,1803,0
28472,2021,NIT,1,HS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC,1871,1871,0
28473,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC-PWD,96,96,0
28474,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,ST,1054,1304,0
28475,2021,NIT,1,HS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,ST,3124,3124,0
28476,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,623,5700,0
28477,2021,NIT,1,OS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,5340,10380,0
28478,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS,693,1170,0
28479,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN-EWS-PWD,49,49,0
28480,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,1290,2794,0
28481,2021,NIT,1,OS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OBC-NCL,2983,3458,0
28482,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC,954,1203,0
28483,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,SC-PWD,36,36,0
28484,2021,NIT,1,OS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,ST,80,235,0
28485,2021,NIT,1,OS,Female-Only,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,ST,535,535,0
28486,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Electrical and Electronics Engineering,4 Years,B.Tech,GEN,8281,19422,0
28487,2021,NIT,1,HS,Female-Only,NIT-Delhi,Electrical and Electronics Engineering,4 Years,B.Tech,GEN,16594,21459,0
28488,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Electrical and Electronics Engineering,4 Years,B.Tech,GEN-PWD,715,715,0
28440,2021,NIT,1,OS,Female-Only,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,OBC-NCL,9547,11458,0
28441,2021,NIT,1,OS,Female-Only,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,OBC-NCL-PWD,830,830,0
28442,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,SC,2766,3756,0
28443,2021,NIT,1,OS,Female-Only,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,SC,4023,5480,0
28444,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,ST,936,1100,0
28445,2021,NIT,1,OS,Female-Only,NIT-Calicut,Mechanical Engineering,4 Years,B.Tech,ST,1706,1729,0
28446,2021,NIT,1,HS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN,28638,39542,0
28447,2021,NIT,1,HS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN,37094,38850,0
28448,2021,NIT,1,HS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-EWS,67965,67965,0
28449,2021,NIT,1,HS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,OBC-NCL,10939,12947,0
28450,2021,NIT,1,HS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,OBC-NCL,13457,13457,0
28451,2021,NIT,1,HS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,SC,13714,20255,0
28452,2021,NIT,1,HS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,SC,17854,17854,0
28453,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN,22651,26371,0
28454,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN,32106,34383,0
29447,2021,NIT,1,OS,Gender-Neutral,NIT-Patna,Architecture,5 Years,B.Arch,OBC-NCL,428,498,0
28455,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-PWD,1306,1306,0
28456,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-EWS,4049,4183,0
28457,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,GEN-EWS,6217,6217,0
28458,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,OBC-NCL,8577,9365,0
28459,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,OBC-NCL,13268,13268,0
28460,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,SC,4620,5658,0
28461,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,SC,6502,6502,0
28462,2021,NIT,1,OS,Gender-Neutral,NIT-Calicut,Production Engineering,4 Years,B.Tech,ST,1678,1775,0
28463,2021,NIT,1,OS,Female-Only,NIT-Calicut,Production Engineering,4 Years,B.Tech,ST,2273,2273,0
28464,2021,NIT,1,HS,Gender-Neutral,NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,GEN,634,5792,0
